condition,scenario,run_count,unitAttributionCount_mean,unitAttributionCount_stddev,unitAttributionCount_ci_lower,unitAttributionCount_ci_upper,degradedConflictCount_mean,degradedConflictCount_stddev,degradedConflictCount_ci_lower,degradedConflictCount_ci_upper,contradictionCount_mean,contradictionCount_stddev,contradictionCount_ci_lower,contradictionCount_ci_upper,factSurvivalRate_mean,factSurvivalRate_stddev,factSurvivalRate_ci_lower,factSurvivalRate_ci_upper,erosionRate_mean,erosionRate_stddev,erosionRate_ci_lower,erosionRate_ci_upper,driftAbsorptionRate_mean,driftAbsorptionRate_stddev,driftAbsorptionRate_ci_lower,driftAbsorptionRate_ci_upper,majorContradictionCount_mean,majorContradictionCount_stddev,majorContradictionCount_ci_lower,majorContradictionCount_ci_upper,meanTurnsToFirstDrift_mean,meanTurnsToFirstDrift_stddev,meanTurnsToFirstDrift_ci_lower,meanTurnsToFirstDrift_ci_upper
NO_COMPLIANCE,adversarial-displacement,10,5.0,0.0,5.0,5.0,1.4,2.1540659228538015,1.4,1.4,0.3,0.45825756949558394,6.050545962184573E-4,0.5993949454037815,94.0,9.16515138991168,88.01210109192436,99.98789890807564,0.0,0.0,0.0,0.0,96.66666666666666,5.091750772173157,93.34005616218019,99.99327717115312,0.0,0.0,0.0,0.0,14.0,0.0,14.0,14.0
NO_COMPLIANCE,adversarial-poisoned-player,10,5.0,0.0,5.0,5.0,0.7,2.0999999999999996,0.7,0.7,0.1,0.30000000000000004,-0.09600000000000003,0.29600000000000004,98.0,6.0,94.08,101.92,0.0,0.0,0.0,0.0,98.88888888888889,3.3333333333333344,96.71111111111111,101.06666666666666,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
NO_COMPLIANCE,balanced-campaign,10,4.9,0.3,4.704000000000001,5.096,1.2,2.4,1.2,1.2,0.0,0.0,0.0,0.0,98.0,6.0,94.08,101.92,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_COMPLIANCE,compliance-fraud-review,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_COMPLIANCE,compliance-policy-adaptive,10,3.2,0.7483314773547882,2.7110901014615387,3.6889098985384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,18.708286933869708,67.77725253653846,92.22274746346154,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_COMPLIANCE,cursed-blade,10,4.0,0.0,4.0,4.0,0.6,1.8000000000000003,0.6,0.6,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_COMPLIANCE,ops-incident-adaptive,10,3.8,0.39999999999999997,3.5386666666666664,4.061333333333333,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,-0.09600000000000003,0.29600000000000004,92.5,11.4564392373896,85.01512636490546,99.98487363509454,0.0,0.0,0.0,0.0,96.66666666666666,10.000000000000004,90.13333333333333,103.19999999999999,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
NO_COMPLIANCE,ops-incident-response,10,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_COMPLIANCE,trust-evaluation-basic,10,3.6,0.4898979485566356,3.2799333402763313,3.920066659723669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,12.24744871391589,81.99833350690828,98.00166649309172,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,adversarial-contradictory,10,4.9,0.3,4.704000000000001,5.096,0.3,0.9000000000000001,0.3,0.3,0.6,0.66332495807108,0.1666276940602277,1.0333723059397721,86.0,12.806248474865697,77.63325099642108,94.36674900357892,0.0,0.0,0.0,0.0,94.0,6.6332495807108,89.66627694060227,98.33372305939773,0.2,0.4,-0.06133333333333335,0.4613333333333334,10.6,1.9595917942265424,8.679600041657988,12.520399958342011
